Networks_age,Diet_1,Diet_2,Difference,StdErr,pValue,Lower,Upper
SoM and Vis 7M,XF,SF,-0.00341500462320036,0.00951233202569911,0.999602833875938,-0.0363695909708485,0.0295395817244478
Lmb and Lmb 7M,SF,UF,0.00387970393163236,0.0110610552047309,0.999652350430628,-0.0344402892998504,0.0421996971631151
Lmb and Lmb 7M,UF,SF,-0.00387970393163236,0.0110610552047309,0.999652350430628,-0.0421996971631151,0.0344402892998504
Lmb and Lmb 1M,SF,XF,-0.0033815014163372,0.01050141505082,0.999787424390198,-0.0397626735757801,0.0329996707431057
Lmb and Lmb 1M,XF,SF,0.0033815014163372,0.01050141505082,0.999787424390198,-0.0329996707431057,0.0397626735757801
Vis and Vis 1M,SF,UF,-0.00595227575207029,0.0187033023055133,0.999801353892531,-0.0707481206771644,0.0588435691730238
Vis and Vis 1M,UF,SF,0.00595227575207029,0.0187033023055133,0.999801353892531,-0.0588435691730238,0.0707481206771644
Vis and Vis 5M,SF,UF,0.00354922580052407,0.0111855677231897,0.999804731801787,-0.0352021294281882,0.0423005810292363
Vis and Vis 5M,UF,SF,-0.00354922580052407,0.0111855677231897,0.999804731801787,-0.0423005810292363,0.0352021294281882
Lmb and Vis 5M,BF,SF,0.00195796307373248,0.0062325312977781,0.999815681436804,-0.0196340598142567,0.0235499859617217
Lmb and Vis 5M,SF,BF,-0.00195796307373248,0.0062325312977781,0.999815681436804,-0.0235499859617217,0.0196340598142567
Lmb and Lmb 5M,BF,XF,0.00173293936260989,0.00552985441498542,0.999818289992174,-0.017424725058294,0.0208906037835138
Lmb and Lmb 5M,XF,BF,-0.00173293936260989,0.00552985441498542,0.999818289992174,-0.0208906037835138,0.017424725058294
SoM and SoM 1M,BF,UF,-0.00286597317492312,0.00990061880328701,0.999885311848788,-0.0371657428178032,0.031433796467957
SoM and SoM 1M,UF,BF,0.00286597317492312,0.00990061880328701,0.999885311848788,-0.031433796467957,0.0371657428178032
Lmb and SoM 1M,BF,SF,-0.00148197639658254,0.00529840730995203,0.999906091664221,-0.0198378139271792,0.0168738611340141
Lmb and SoM 1M,SF,BF,0.00148197639658254,0.00529840730995203,0.999906091664221,-0.0168738611340141,0.0198378139271792
